url,article_title
https://www.cnbcindonesia.com/news/20240404065940-4-528112/borok-israel-tersingkap-bunuh-pekerja-kemanusiaan-secara-sistematis,"Borok Israel Tersingkap, Bunuh Pekerja Kemanusiaan secara Sistematis"
https://www.cnbcindonesia.com/news/20240403152755-4-527975/palestina-anak-bawang-di-pbb-apakah-bisa-jadi-anggota-penuh,"Palestina 'Anak Bawang' di PBB, Apakah Bisa Jadi Anggota Penuh?"
https://www.cnbcindonesia.com/news/20240403082925-8-527727/video-netanyahu-akui-israel-tak-sengaja-bombardir-koki-inggris,Video: Netanyahu Akui Israel Tak Sengaja Bombardir Koki Inggris
https://www.cnbcindonesia.com/news/20240403082750-8-527725/video-inggris-panggil-dubes-israel-usai-3-koki-inggris-tewas-di-gaza,Video: Inggris Panggil Dubes Israel Usai 3 Koki Inggris Tewas Di Gaza
https://www.cnbcindonesia.com/news/20240402125817-7-527471/potret-serangan-israel-tewaskan-pekerja-bantuan-internasional-di-gaza,Potret Serangan Israel Tewaskan Pekerja Bantuan Internasional di Gaza
https://www.cnbcindonesia.com/news/20240402111701-7-527421/miris-potret-terbaru-rs-al-shifa-hancur-lebur-dbombardir-israel,Miris! Potret Terbaru RS Al Shifa Hancur Lebur Dbombardir Israel
https://www.cnbcindonesia.com/news/20240402151518-4-527560/israel-tangkap-adik-pemimpin-hamas-ismail-haniyeh-ini-kronologinya,"Israel Tangkap Adik Pemimpin Hamas Ismail Haniyeh, Ini Kronologinya"
https://www.cnbcindonesia.com/news/20240402142131-4-527534/brutal-serangan-israel-bunuh-7-pekerja-bantuan-internasional-di-gaza,Brutal! Serangan Israel Bunuh 7 Pekerja Bantuan Internasional di Gaza
https://www.cnbcindonesia.com/news/20240402100737-4-527386/as-pertimbangkan-transfer-senjata-rp-286-t-ke-israel-biden-galau,"AS Pertimbangkan Transfer Senjata Rp 286 T ke Israel, Biden Galau"
https://www.cnbcindonesia.com/news/20240402081009-8-527338/video-akhirnya-israel-tarik-pasukan-dari-rs-al-shifa-ada-apa,"Video: Akhirnya Israel Tarik Pasukan Dari RS Al Shifa, Ada Apa?"
https://www.cnbcindonesia.com/tech/20240402063943-37-527315/israel-pakai-teknologi-google-tangkap-warga-gaza-lalu-disiksa,"Israel Pakai Teknologi Google Tangkap Warga Gaza, Lalu Disiksa"
https://www.cnbcindonesia.com/news/20240402053919-4-527296/israel-menggila-bombardir-kedutaan-iran-di-suriah-3-komandan-tewas,"Israel Menggila! Bombardir Kedutaan Iran di Suriah, 3 Komandan Tewas"
https://www.cnbcindonesia.com/news/20240401191958-8-527241/video-israel-berikan-syarat-buka-akses-bantuan-ke-gaza,Video : Israel Berikan Syarat Buka Akses Bantuan ke Gaza
https://www.cnbcindonesia.com/news/20240401082237-8-526927/video-pekan-paskah-paus-fransiskus-serukan-gencatan-senjata-di-gaza,"Video: Pekan Paskah, Paus Fransiskus Serukan Gencatan Senjata Di Gaza"
https://www.cnbcindonesia.com/news/20240401075602-4-526921/netanyahu-operasi-hernia-warga-israel-demo-besar-suruh-lengser,"Netanyahu Operasi Hernia, Warga Israel Demo Besar Suruh Lengser"
https://www.cnbcindonesia.com/news/20240331215238-4-526888/pm-israel-benjamin-netanyahu-tiba-tiba-masuk-rs-kena-hernia,"PM Israel Benjamin Netanyahu Tiba-Tiba Masuk RS, Kena Hernia"
https://www.cnbcindonesia.com/news/20240330200310-7-526749/keluarga-sandera-hamas-demo-di-tel-aviv-pajang-foto-keluarga,"Keluarga Sandera Hamas Demo di Tel Aviv, Pajang Foto Keluarga"
https://www.cnbcindonesia.com/news/20240330102739-8-526673/video-ramadan-di-gaza-salat-di-tengah-ancaman-bom-israel-kelaparan,"Video: Ramadan Di Gaza, Salat Di Tengah Ancaman Bom Israel & Kelaparan"
