;content_title
219;Tegas Bela Palestina di DK PBB, Menlu Retno Ajukan Tiga Tuntutan
220;Menlu Retno: Kemana Palestina Harus Mengadu? Sementara Israel Membunuh Rakyat Tanpa Dihukum   
221;Uni Eropa: Israel Tak Bisa Halangi Palestina Tentukan Nasib Sendiri
222;Netanyahu Tebar Ancaman ke Pemimpin Dunia jika Negaranya Kalah Perang
223;Rusia: Pembicaraan soal Masa Depan Gaza Tanpa Gencatan Senjata Sangat Sia-sia
224;Momen Pidato Biden Disela Teriakan-teriakan Mengecam Aksi Israel di Gaza
225;Siapa Itu Motaz Azaiza, Jurnalis Palestina yang Akhirnya Keluar dari Gaza   
226;Indonesia Tolak Pernyataan PM Israel yang Menentang Pembentukan Negara Palestina
227;Prajurit Israel yang Tewas di Gaza Dimakamkan, Diiringi Hujan Tangis Keluarga dan Kolega
228;Kepala Staf IDF Datangi Lokasi Insiden 21 Tentara Israel Tewas saat Serang Infrastruktur Hamas
229;Israel Mulai Bombardir Tepi Barat
230;Mengapa Solusi Dua Negara Sulit Dicapai dalam Konflik Palestina?   
231;Tank-tank Israel Tembaki Rumah Sakit di Khan Younis Gaza
232;Iran: Gencatan Senjata Bukan Kendali Negara Muslim
233;Ribuan Warga Palestina Mengungsi ke Rafah Usai Israel Kepung Khan Younis
234;Pasukan Tank Israel Kepung Khan Younis Gaza Usai 21 Tentara IDF Tewas
235;Di Debat Terbuka DK PBB, Menlu RI Kembali Bela Palestina, Ajukan 3 Tuntutan   
236;Daftar Tim Lolos 16 Besar Piala Asia 2023: 10 Slot Terisi, Palestina Ukir Sejarah   
237;Klasemen Peringkat Tiga Terbaik Piala Asia: Palestina-Suriah Lolos, Indonesia Turun Posisi   
238;Hasil Piala Asia 2023: Palestina Menang, Indonesia Tentukan Nasib Lawan Jepang   
239;50 Warga Palestina Jadi Korban Serangan Bom Israel di Khan Younis
240;Hamas Siap Bebaskan 33 Sandera Pertama Terkait Gencatan Senjata Gaza
241;Kabinet Keamanan Israel Setujui Kesepakatan Gencatan Senjata Gaza
242;Gencatan Senjata Israel Palestina Bantuan Indonesia Segera Dikirim Ke
243;Palestina Siapkan Layanan Darurat Di Gaza Saat Gencatan Senjata
244;Israel Tunda Pemungutan Suara Untuk Menyetujui Perjanjian Gencatan
245;Gencatan Senjata Gaza Disepakati Akankah Palestina Merdeka
246;Apa Arti Dari Tagar Ceasefirenow Dalam Gencatan Senjata Gaza 
247;Soal Gencatan Senjata Di Gaza Menlu Kita Sambut Baik Itu Momentum Baru
248;Gencatan Senjata Irael Hamas  Harapan Dan Realita 
249;Gencatan Senjata Gaza Baru Terwujud Sekarang Human Rights Watch  Akibat
250;Warganet Rayakan Gencatan Senjata Gaza Gaungkan Tagar Ceasefirenow
251;Joe Biden Dan Donald Trump Saling Klaim Paling Berjasa Atas Gencatan
252;Indonesia Minta Akses Bantuan Ke Gaza Dipulihkan Usai Gencatan Senjata
253;Sebut Israel Sering Khianati Perjanjian Fraksi Pks Desak Kawal Ketat
